"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","browser","scRes","window_resolution","focus","success","miniblock","nSteps","node","goalnode","choiceVar","total_reward"
"355","<p >Welcome to the experiment. Press any key to continue.</p>                <p style=""font-family:VideoGame;font-size:10%;"">.</p>","39","html-keyboard-response","0","357","0.0-0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 955","true","","","","","","",""
"355","<p style=""width:50%; margin-left:auto;margin-right:auto"">Before the start of the experiment, we would like to provide you with some information regarding ourselves and your own privacy. Please read the statements and tick the box if you agree and wish to continue. It is always an option to terminate the experiment when one or more things cause you concern.</p>","39","html-keyboard-response","1","714","0.0-1.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 955","true","","","","","","",""
"350","<p style=""width:50%; margin-left:auto;margin-right:auto"">For the experiment it is important that we set your browser to fullscreen mode. The next page will contain a button you can press to enter fullscreen. If you leave fullscreen during the experiment at any time, this will be recorded and unfortunately we will not be able to complete your payment if this has occurred. Additionally, be aware that the experiment only works for 16:9 aspect ratio monitors. If you do not have a monitor with this aspect ratio, please quit the experiment, as we will ultimately not be able to complete your payment.</p><p>Press any key to continue.</p>","39","html-keyboard-response","2","1065","0.0-2.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 955","true","","","","","","",""
"725","img/Boot.png","37","image-keyboard-response","60","68186","0.0-11.0-0.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","3","7","3","5","-1","14"
"694","img/Ovenmitt.png","40","image-keyboard-response","61","68882","0.0-11.0-0.8","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","3","8","1","5","0","14"
"740","img/Fryingpan.png","40","image-keyboard-response","62","69625","0.0-11.0-0.9","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","3","9","2","5","0","14"
"748","img/Ovenmitt.png","40","image-keyboard-response","63","70377","0.0-11.0-0.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","3","10","1","5","0","14"
"884","img/Lightbulb.png","40","image-keyboard-response","64","71266","0.0-11.0-0.11","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","3","11","4","5","0","14"
"708","img/Boot.png","40","image-keyboard-response","65","71978","0.0-11.0-0.12","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","3","12","3","5","0","14"
"635","img/Cap.png","39","image-keyboard-response","66","72617","0.0-11.0-0.13","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","3","13","0","5","1","13"
"749","img/Fryingpan.png","37","image-keyboard-response","67","73369","0.0-11.0-0.14","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","3","14","2","5","-1","13"
"693","img/Boot.png","40","image-keyboard-response","68","74066","0.0-11.0-0.15","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","3","15","3","5","0","13"
"708","img/Lightbulb.png","40","image-keyboard-response","69","74778","0.0-11.0-0.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","3","16","4","5","0","13"
"null","img/Toiletpaper.png","null","image-keyboard-response","70","74805","0.0-11.0-0.17","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","3","17","5","5","0","13"
"1868","img/Toiletpaper.png","38","image-keyboard-response","71","76674","0.0-12.0-0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","","","","","",""
"887","img/Toiletpaper.png","40","image-keyboard-response","72","77570","0.0-13.0-0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","4","0","5","12","0","13"
"786","img/Soapdispenser.png","40","image-keyboard-response","73","78362","0.0-13.0-0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","4","1","7","12","0","13"
"644","img/Toiletpaper.png","40","image-keyboard-response","74","79010","0.0-13.0-0.2","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","4","2","5","12","0","13"
"828","img/Basket.png","40","image-keyboard-response","75","79842","0.0-13.0-0.3","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","4","3","8","12","0","13"
"668","img/Toiletpaper.png","40","image-keyboard-response","76","80513","0.0-13.0-0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","4","4","5","12","0","13"
"772","img/Basket.png","40","image-keyboard-response","77","81290","0.0-13.0-0.5","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","4","5","8","12","0","13"
"917","img/Soapdispenser.png","39","image-keyboard-response","78","82210","0.0-13.0-0.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","4","6","7","12","1","12"
"644","img/Balloon.png","39","image-keyboard-response","79","82858","0.0-13.0-0.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","4","7","9","12","1","10"
"604","img/Jar.png","39","image-keyboard-response","80","83465","0.0-13.0-0.8","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","4","8","10","12","1","7"
